open,write,read,close
113.177,5.81,0.88,12.52
110.137,5.8,0.89,12.47
136.136,6.09,0.9,13.04
120.337,5.19,0.77,11.62
115.027,5.2,0.78,11.73
117.028,5.14,0.77,11.709
113.688,5.179,0.79,11.75
114.027,5.2,0.8,11.57
113.857,5.16,0.78,11.72
116.047,5.2,0.8,11.64
113.537,5.19,0.82,11.51
114.257,5.2,0.76,11.669
114.768,5.4,0.78,11.719
116.278,5.479,0.8,11.54
113.707,5.19,0.78,11.55
117.297,5.27,0.77,11.6
114.127,5.14,0.8,11.78
316.923,5.98,0.85,19.429
120.657,5.23,0.77,11.62
118.407,5.34,0.81,11.78
124.647,5.2,0.76,11.589
114.498,5.159,0.78,11.6
113.137,5.19,0.76,11.62
113.607,5.16,0.78,11.62
112.867,5.19,0.8,11.61
113.217,5.19,0.75,11.64
115.087,5.16,0.77,11.83
113.488,5.18,0.8,11.619
114.748,5.31,0.8,11.659
114.698,5.109,0.78,11.56
113.587,5.18,0.79,11.67
113.327,5.22,0.79,11.65
114.567,5.23,0.78,11.63
114.697,5.21,0.77,11.53
128.997,5.849,0.87,12.49
118.847,5.18,0.79,11.58
116.477,5.13,0.79,11.68
112.867,5.21,0.78,11.65
114.308,5.06,0.78,11.639
112.618,5.23,0.79,11.679
113.348,5.079,0.8,11.53
112.647,5.19,0.77,11.62
113.517,5.29,0.78,11.59
113.037,5.47,0.78,11.63
112.587,5.26,0.78,11.55
113.387,5.34,0.79,11.86
114.987,5.22,0.83,11.609
113.158,5.14,0.77,11.599
112.968,5.29,0.779,11.57
109.728,5.149,0.75,11.39
114.147,5.2,0.76,11.53
113.007,5.2,0.79,11.58
113.297,5.13,0.75,11.55
119.597,5.15,0.78,11.66
112.947,5.18,0.82,11.739
112.648,5.2,0.75,11.589
136.817,6.09,0.92,13.25
122.997,5.35,0.8,12.099
118.567,8.79,0.8,17.47
117.817,5.2,1.75,11.49
113.998,5.11,0.78,11.609
114.638,5.11,0.79,11.699
113.358,5.119,0.8,11.63
118.787,5.22,0.79,11.7
143.246,5.23,0.76,11.62
118.127,5.29,0.75,11.59
116.907,5.2,0.76,11.57
113.777,5.13,0.77,11.54
113.998,5.17,0.78,11.709
115.558,5.13,0.75,11.6
117.717,5.13,0.76,11.65
116.527,5.17,0.78,11.57
114.637,5.52,0.76,11.52
113.917,5.21,0.77,11.59
113.848,5.18,0.78,11.469
114.928,5.25,0.77,11.559
113.758,5.219,0.73,11.69
114.807,5.22,0.78,11.56
113.487,5.17,0.76,11.64
114.377,5.39,0.74,11.7
113.997,5.17,0.77,11.68
113.858,5.16,0.76,11.599
113.618,5.27,0.74,11.479
164.716,6.15,0.91,13.44
127.897,6,0.87,12.919
155.957,6.05,0.899,12.98
147.626,7.55,1.11,16.53
137.608,5.95,0.86,12.859
118.457,5.3,0.75,11.47
119.977,5.2,0.8,11.67
