open_us,write_us,read_us,close_us
443,30,10,37
541,22,9,34
474,21,9,34
453,15,6,26
454,11,5,25
455,26,11,35
549,21,10,35
481,23,9,39
456,37,9,33
639,22,11,43
577,23,10,36
546,16,8,24
442,39,8,29
545,24,9,39
491,21,10,38
537,22,10,40
505,22,9,41
1040,26,48,48
497,19,10,40
727,22,15,33
735,21,10,34
527,24,9,50
538,24,9,42
457,20,10,31
449,26,10,41
588,15,6,26
461,23,13,44
546,15,6,40
442,11,5,22
410,12,5,22
466,24,9,40
392,17,6,25
459,31,10,40
546,13,7,23
426,27,8,37
442,14,5,23
407,11,5,21
450,27,10,39
530,22,11,36
495,13,7,22
460,23,10,42
547,26,9,37
548,22,9,36
405,32,11,37
444,23,9,36
405,19,8,24
584,15,24,25
463,32,7,27
461,24,10,40
458,19,7,28
524,29,9,35
436,15,8,25
475,26,10,46
384,13,6,24
464,12,5,22
442,26,9,43
553,22,10,34
446,16,8,76
410,24,9,37
464,18,8,26
460,28,9,36
451,23,8,28
475,23,9,46
487,23,9,35
438,24,9,34
504,14,6,33
455,13,6,37
529,26,10,52
532,13,5,24
453,25,9,42
522,23,9,35
488,12,6,23
452,26,9,38
451,23,10,35
448,21,9,39
516,17,8,26
413,46,5,22
459,15,6,25
421,14,6,22
402,12,6,22
413,26,9,42
440,72,6,31
446,23,8,38
384,16,7,24
461,24,11,40
493,20,7,46
510,39,8,39
431,16,6,25
418,22,8,39
390,14,7,23
459,11,5,66
352,11,5,40
474,23,10,42
387,15,7,42
389,40,5,21
518,11,5,20
459,27,9,42
554,13,5,22
442,24,9,36
394,13,6,23
446,36,8,30
419,13,5,23
418,11,5,20
464,10,5,19
454,10,5,19
415,23,9,53
417,15,6,23
417,18,6,24
461,31,10,38
437,15,6,23
408,23,9,38
460,14,6,23
458,11,5,20
447,23,10,36
491,22,8,41
388,43,6,25
439,11,5,21
457,26,10,41
567,21,9,38
479,22,9,35
488,25,9,35
464,21,8,37
557,14,6,23
464,25,9,48
557,12,6,22
459,45,10,36
480,24,9,37
389,14,6,23
461,10,4,21
451,29,10,40
535,23,9,45
553,25,13,34
448,21,9,36
516,14,6,22
422,27,9,37
451,22,9,35
395,18,9,24
439,24,9,42
440,28,10,34
430,22,9,42
546,21,9,52
1046,15,8,27
811,21,8,27
557,23,9,38
475,22,9,54
534,22,9,36
486,22,9,44
