Run,Open,Write,Read,Close
623,184.700,158.300,15.000,171.400
624,188.900,107.900,14.000,258.200
625,199.100,114.400,13.200,164.100
626,163.000,104.000,12.800,260.000
627,205.700,115.100,14.100,257.100
628,197.400,111.500,13.300,171.000
629,167.800,235.600,25.400,242.400
630,277.800,120.500,15.000,184.000
631,202.200,123.100,14.500,280.100
632,259.000,160.200,16.500,197.500
633,185.300,133.900,15.200,170.300
634,265.400,123.700,17.000,284.600
635,215.400,140.200,15.400,170.900
636,175.100,113.300,13.100,177.100
637,194.400,113.100,13.600,317.300
638,247.800,144.000,16.500,202.200
639,437.100,148.800,19.700,327.100
640,292.200,161.700,19.000,207.100
641,234.000,113.900,16.700,405.300
642,278.300,135.200,14.500,182.100
643,186.100,198.300,17.600,193.600
644,211.400,141.000,14.300,339.800
645,237.800,221.100,26.300,365.500
646,223.500,122.100,16.400,268.600
647,215.500,187.000,16.700,142.400
648,191.700,117.300,15.200,183.200
649,184.400,141.500,16.200,184.600
650,252.000,213.000,16.100,184.400
651,233.800,115.100,13.100,163.500
652,267.100,118.600,14.100,166.400
653,222.100,109.200,13.300,291.700
654,197.600,108.600,13.100,163.100
655,305.800,180.800,20.100,403.200
656,189.400,109.800,12.800,162.700
657,155.400,100.700,12.600,159.400
658,252.900,117.500,13.700,159.100
659,444.100,169.400,16.700,196.600
660,541.600,171.400,20.600,203.500
661,242.600,117.900,13.900,179.000
662,191.400,111.000,15.600,375.100
663,290.000,256.000,21.800,362.700
664,289.600,180.500,18.500,217.200
665,371.400,227.500,26.300,236.000
666,406.000,335.000,25.700,249.700
667,281.900,138.400,16.200,200.100
668,227.800,136.300,81.400,373.400
669,245.400,281.400,18.600,265.700
670,228.900,123.700,14.600,290.800
671,222.900,126.200,13.900,282.500
672,216.000,123.600,14.500,193.600
673,188.600,135.000,14.400,227.300
674,205.700,136.100,14.500,266.300
675,202.700,116.400,14.400,261.000
676,282.600,149.100,17.600,195.900
677,291.500,190.600,21.900,209.900
678,411.400,198.900,20.100,260.500
679,315.200,128.300,14.600,192.200
680,206.500,155.200,13.700,170.900
681,336.600,191.400,19.100,220.200
682,261.400,130.700,16.600,417.800
683,288.100,145.700,17.600,204.300
684,412.400,182.300,19.000,414.700
685,258.000,143.100,15.600,404.300
686,277.100,149.000,17.300,300.000
687,325.900,172.000,16.500,267.100
688,562.100,167.000,18.300,370.900
689,317.200,111.500,9.600,340.800
690,267.900,143.500,16.600,361.200
691,324.100,176.600,17.600,308.300
